#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
1802000      1.46e-02      5.28e-05      1.67e-03    7.5e-05
1804000      8.71e-02      1.13e-02      8.38e-04    7.5e-05
1806000      5.06e-02      3.29e-03      5.44e-03    7.5e-05
1808000      4.43e-02      4.31e-03      3.37e-03    7.5e-05
1810000      1.52e-01      4.73e-03      1.72e-02    7.5e-05
1812000      1.45e-01      2.41e-02      7.03e-03    7.5e-05
1814000      3.50e-02      2.24e-03      3.49e-03    7.5e-05
1816000      5.50e-02      6.91e-03      4.61e-03    7.5e-05
1818000      2.70e-02      1.31e-03      2.87e-03    7.5e-05
1820000      2.30e-01      2.70e-03      2.64e-02    7.5e-05
1822000      1.82e-01      5.94e-03      2.06e-02    7.5e-05
1824000      3.71e-02      4.34e-04      4.24e-03    7.5e-05
1826000      8.20e-02      1.09e-03      9.37e-03    7.5e-05
1828000      2.35e-01      6.71e-03      2.64e-02    7.5e-05
1830000      8.68e-02      7.52e-04      9.94e-03    7.5e-05
1832000      5.41e-02      1.10e-03      6.13e-03    7.5e-05
1834000      2.05e-02      2.35e-03      1.10e-03    7.5e-05
1836000      1.68e-01      1.31e-04      1.92e-02    7.5e-05
1838000      2.32e-02      2.98e-03      3.93e-04    7.5e-05
1840000      3.52e-02      2.32e-03      3.58e-03    7.1e-05
1842000      2.38e-01      3.80e-03      2.79e-02    7.1e-05
1844000      2.00e-01      6.90e-03      2.32e-02    7.1e-05
1846000      2.88e-01      7.45e-03      3.37e-02    7.1e-05
1848000      1.33e-01      1.70e-02      2.69e-03    7.1e-05
1850000      7.23e-02      1.22e-02      3.33e-03    7.1e-05
1852000      2.82e-02      2.22e-03      2.64e-03    7.1e-05
1854000      4.34e-02      3.11e-03      4.28e-03    7.1e-05
1856000      2.42e-01      2.11e-03      2.86e-02    7.1e-05
1858000      2.95e-02      1.47e-04      3.48e-03    7.1e-05
1860000      4.72e-02      5.44e-03      2.55e-03    7.1e-05
1862000      6.05e-02      5.88e-03      6.06e-03    7.1e-05
1864000      5.83e-02      6.64e-03      5.39e-03    7.1e-05
1866000      1.12e-01      4.68e-04      1.32e-02    7.1e-05
1868000      2.37e-02      2.98e-03      6.86e-04    7.1e-05
1870000      2.01e-01      2.38e-03      2.36e-02    7.1e-05
1872000      2.99e-02      3.71e-03      1.01e-03    7.1e-05
1874000      1.50e-01      1.05e-03      1.77e-02    7.1e-05
1876000      2.58e-02      1.22e-03      2.84e-03    7.1e-05
1878000      4.89e-02      5.29e-03      4.65e-03    7.1e-05
1880000      1.37e-02      6.02e-04      1.56e-03    6.7e-05
1882000      2.53e-01      1.91e-03      3.07e-02    6.7e-05
1884000      4.84e-02      1.50e-03      5.79e-03    6.7e-05
1886000      5.35e-02      8.62e-03      3.08e-03    6.7e-05
1888000      1.17e-01      1.36e-03      1.42e-02    6.7e-05
1890000      2.42e-02      2.58e-03      1.67e-03    6.7e-05
1892000      1.49e-02      5.27e-04      1.74e-03    6.7e-05
1894000      5.50e-02      6.52e-03      2.68e-03    6.7e-05
1896000      2.13e-02      1.03e-03      2.49e-03    6.7e-05
1898000      2.97e-02      3.36e-03      2.83e-03    6.7e-05
1900000      5.72e-02      4.80e-03      6.18e-03    6.7e-05
1902000      2.76e-01      7.63e-03      3.31e-02    6.7e-05
1904000      2.34e-01      2.31e-03      2.83e-02    6.7e-05
1906000      2.24e-02      2.55e-03      2.13e-03    6.7e-05
1908000      1.34e-02      1.14e-03      1.22e-03    6.7e-05
1910000      2.97e-02      3.66e-03      1.10e-03    6.7e-05
1912000      2.36e-01      3.23e-03      2.86e-02    6.7e-05
1914000      4.59e-02      3.60e-03      4.44e-03    6.7e-05
1916000      1.91e-01      2.57e-03      2.32e-02    6.7e-05
1918000      4.59e-02      6.12e-03      3.81e-03    6.7e-05
1920000      2.99e-01      6.25e-03      3.72e-02    6.3e-05
1922000      4.50e-02      4.64e-03      4.65e-03    6.3e-05
1924000      5.67e-02      9.33e-03      3.05e-03    6.3e-05
1926000      1.81e-02      2.59e-04      2.25e-03    6.3e-05
1928000      2.32e-01      8.18e-03      2.84e-02    6.3e-05
1930000      2.70e-02      1.54e-04      3.38e-03    6.3e-05
1932000      6.15e-02      6.61e-04      7.66e-03    6.3e-05
1934000      9.27e-02      8.97e-04      1.16e-02    6.3e-05
1936000      2.41e-01      3.93e-03      3.00e-02    6.3e-05
1938000      2.11e-01      2.04e-03      2.62e-02    6.3e-05
1940000      1.62e-02      1.71e-03      1.16e-03    6.3e-05
1942000      1.55e-01      1.99e-02      1.92e-03    6.3e-05
1944000      6.65e-02      8.25e-03      2.30e-03    6.3e-05
1946000      1.94e-01      1.02e-03      2.42e-02    6.3e-05
1948000      9.94e-03      1.18e-03      4.88e-04    6.3e-05
1950000      1.00e-01      1.69e-03      1.25e-02    6.3e-05
1952000      2.56e-02      1.88e-04      3.20e-03    6.3e-05
1954000      2.11e-02      1.43e-03      2.24e-03    6.3e-05
1956000      8.54e-02      3.38e-03      1.04e-02    6.3e-05
1958000      2.33e-01      1.84e-03      2.91e-02    6.3e-05
1960000      4.40e-02      2.34e-03      5.41e-03    6.0e-05
1962000      1.09e-01      7.27e-03      1.33e-02    6.0e-05
1964000      1.37e-02      9.89e-04      1.62e-03    6.0e-05
1966000      5.20e-02      6.48e-03      1.70e-03    6.0e-05
1968000      1.10e-01      9.88e-04      1.42e-02    6.0e-05
1970000      1.93e-01      2.53e-03      2.46e-02    6.0e-05
1972000      3.85e-02      4.02e-03      4.06e-03    6.0e-05
1974000      2.34e-02      2.83e-03      1.02e-03    6.0e-05
1976000      1.22e-01      1.92e-03      1.55e-02    6.0e-05
1978000      2.31e-02      2.72e-03      1.22e-03    6.0e-05
1980000      2.05e-01      2.85e-03      2.61e-02    6.0e-05
1982000      8.91e-02      1.63e-03      1.13e-02    6.0e-05
1984000      1.39e-02      7.87e-04      1.71e-03    6.0e-05
1986000      6.19e-02      1.05e-03      7.89e-03    6.0e-05
1988000      2.03e-02      1.92e-03      1.77e-03    6.0e-05
1990000      1.17e-01      2.09e-03      1.49e-02    6.0e-05
1992000      4.66e-03      2.15e-04      5.60e-04    6.0e-05
1994000      1.99e-01      4.39e-03      2.53e-02    6.0e-05
1996000      6.79e-02      8.55e-03      1.88e-03    6.0e-05
1998000      1.85e-01      2.83e-03      2.37e-02    6.0e-05
2000000      2.03e-02      3.38e-03      1.06e-03    5.6e-05
2002000      1.16e-01      4.46e-03      1.50e-02    5.6e-05
2004000      1.37e-02      1.36e-04      1.81e-03    5.6e-05
2006000      4.70e-02      4.78e-03      5.15e-03    5.6e-05
2008000      2.53e-01      2.56e-03      3.34e-02    5.6e-05
2010000      3.20e-02      2.50e-03      3.82e-03    5.6e-05
2012000      1.07e-01      2.37e-03      1.41e-02    5.6e-05
2014000      1.82e-02      1.27e-03      2.22e-03    5.6e-05
2016000      2.54e-02      2.20e-03      2.48e-03    5.6e-05
2018000      2.53e-02      2.84e-03      2.63e-03    5.6e-05
2020000      2.81e-01      4.60e-03      3.68e-02    5.6e-05
2022000      1.99e-01      5.50e-03      2.61e-02    5.6e-05
2024000      4.82e-02      5.55e-03      4.94e-03    5.6e-05
2026000      2.79e-02      5.72e-04      3.65e-03    5.6e-05
2028000      3.03e-02      1.39e-03      3.88e-03    5.6e-05
2030000      2.67e-02      2.88e-03      2.84e-03    5.6e-05
2032000      1.23e-01      1.43e-03      1.63e-02    5.6e-05
2034000      2.43e-02      8.25e-04      3.10e-03    5.6e-05
2036000      6.30e-02      7.81e-03      2.26e-03    5.6e-05
2038000      2.12e-02      1.89e-03      2.44e-03    5.6e-05
2040000      1.96e-01      2.47e-03      2.66e-02    5.3e-05
2042000      1.98e-01      6.77e-03      2.64e-02    5.3e-05
2044000      1.90e-01      4.14e-03      2.55e-02    5.3e-05
2046000      4.37e-02      2.93e-03      5.53e-03    5.3e-05
2048000      6.37e-02      8.39e-04      8.64e-03    5.3e-05
2050000      2.32e-02      2.59e-03      1.55e-03    5.3e-05
2052000      2.57e-02      3.88e-03      1.95e-03    5.3e-05
2054000      1.96e-01      2.74e-03      2.65e-02    5.3e-05
2056000      2.46e-02      2.65e-04      3.33e-03    5.3e-05
2058000      4.73e-02      5.52e-03      4.93e-03    5.3e-05
2060000      2.44e-02      1.50e-03      3.12e-03    5.3e-05
2062000      1.33e-01      2.35e-03      1.80e-02    5.3e-05
2064000      4.79e-02      4.31e-03      4.64e-03    5.3e-05
2066000      3.80e-02      3.17e-03      3.92e-03    5.3e-05
2068000      7.74e-03      5.08e-05      1.05e-03    5.3e-05
2070000      5.12e-02      5.65e-03      5.52e-03    5.3e-05
2072000      2.41e-01      3.31e-03      3.27e-02    5.3e-05
2074000      4.12e-02      5.04e-03      4.14e-03    5.3e-05
2076000      1.78e-02      9.11e-05      2.42e-03    5.3e-05
2078000      5.08e-02      3.66e-04      6.90e-03    5.3e-05
2080000      1.44e-01      3.27e-03      2.00e-02    5.0e-05
2082000      2.46e-01      8.97e-03      3.38e-02    5.0e-05
2084000      2.41e-01      3.40e-03      3.36e-02    5.0e-05
2086000      7.15e-02      1.09e-02      5.40e-03    5.0e-05
2088000      3.22e-02      1.75e-04      4.50e-03    5.0e-05
2090000      1.91e-01      1.36e-03      2.67e-02    5.0e-05
2092000      9.48e-02      2.17e-04      1.33e-02    5.0e-05
2094000      8.75e-02      3.18e-03      1.21e-02    5.0e-05
2096000      1.87e-01      5.97e-04      2.61e-02    5.0e-05
2098000      2.27e-01      1.89e-03      3.17e-02    5.0e-05
2100000      1.82e-01      4.69e-03      2.53e-02    5.0e-05
2102000      1.95e-01      1.95e-03      2.73e-02    5.0e-05
2104000      1.97e-01      6.98e-03      2.64e-02    5.0e-05
2106000      2.30e-01      2.59e-03      3.22e-02    5.0e-05
2108000      3.76e-02      3.88e-04      5.25e-03    5.0e-05
2110000      1.79e-02      3.01e-03      9.44e-04    5.0e-05
2112000      2.25e-01      7.34e-04      3.15e-02    5.0e-05
2114000      8.00e-02      1.78e-03      1.11e-02    5.0e-05
2116000      6.50e-02      4.09e-03      8.53e-03    5.0e-05
2118000      8.59e-02      2.82e-03      1.18e-02    5.0e-05
2120000      2.00e-01      5.11e-03      2.85e-02    4.7e-05
2122000      4.70e-02      2.67e-03      6.43e-03    4.7e-05
2124000      2.87e-02      9.34e-04      4.06e-03    4.7e-05
2126000      3.01e-02      1.60e-03      4.14e-03    4.7e-05
2128000      1.86e-02      1.76e-03      2.29e-03    4.7e-05
2130000      2.82e-02      4.94e-03      1.01e-03    4.7e-05
2132000      2.17e-01      2.50e-03      3.11e-02    4.7e-05
2134000      2.42e-01      9.58e-03      3.39e-02    4.7e-05
2136000      2.09e-02      1.18e-04      3.01e-03    4.7e-05
2138000      1.64e-02      1.89e-03      1.04e-03    4.7e-05
2140000      2.68e-02      8.66e-05      3.85e-03    4.7e-05
2142000      2.79e-02      2.35e-03      3.55e-03    4.7e-05
2144000      2.09e-02      2.64e-03      2.16e-03    4.7e-05
2146000      2.16e-01      1.61e-03      3.11e-02    4.7e-05
2148000      8.40e-02      1.04e-03      1.21e-02    4.7e-05
2150000      2.21e-01      1.96e-03      3.18e-02    4.7e-05
2152000      1.69e-01      4.92e-03      2.37e-02    4.7e-05
2154000      2.00e-02      1.27e-03      2.49e-03    4.7e-05
2156000      2.13e-01      8.65e-04      3.06e-02    4.7e-05
2158000      3.34e-02      4.20e-03      9.24e-04    4.7e-05
2160000      5.12e-02      1.20e-03      7.45e-03    4.5e-05
2162000      3.31e-02      3.58e-03      2.62e-03    4.5e-05
2164000      1.57e-01      7.83e-03      2.25e-02    4.5e-05
2166000      5.16e-02      6.51e-03      5.47e-03    4.5e-05
2168000      1.12e-01      5.37e-03      1.60e-02    4.5e-05
2170000      1.84e-01      3.72e-03      2.71e-02    4.5e-05
2172000      5.13e-02      7.10e-03      4.90e-03    4.5e-05
2174000      7.74e-02      1.03e-03      1.14e-02    4.5e-05
2176000      4.37e-02      3.03e-03      5.43e-03    4.5e-05
2178000      5.76e-02      9.79e-04      8.46e-03    4.5e-05
2180000      8.41e-02      1.93e-03      1.24e-02    4.5e-05
2182000      3.10e-02      2.17e-03      4.23e-03    4.5e-05
2184000      1.84e-01      2.09e-03      2.73e-02    4.5e-05
2186000      1.92e-01      2.53e-03      2.83e-02    4.5e-05
2188000      3.43e-02      6.03e-03      1.16e-03    4.5e-05
2190000      2.58e-02      2.63e-03      3.16e-03    4.5e-05
2192000      3.30e-01      1.72e-03      4.89e-02    4.5e-05
2194000      2.73e-02      3.40e-03      2.92e-03    4.5e-05
2196000      1.13e-01      1.12e-03      1.66e-02    4.5e-05
2198000      1.79e-02      2.22e-03      6.15e-04    4.5e-05
2200000      2.86e-02      1.22e-03      4.23e-03    4.2e-05
2202000      1.75e-01      3.85e-03      2.63e-02    4.2e-05
2204000      1.96e-02      7.90e-04      2.83e-03    4.2e-05
2206000      4.75e-02      4.86e-03      4.31e-03    4.2e-05
2208000      1.72e-01      3.05e-03      2.61e-02    4.2e-05
2210000      2.97e-02      2.37e-03      3.53e-03    4.2e-05
2212000      5.94e-02      6.27e-03      5.11e-03    4.2e-05
2214000      2.82e-02      3.33e-03      3.24e-03    4.2e-05
2216000      3.25e-02      1.85e-03      4.70e-03    4.2e-05
2218000      1.79e-01      3.26e-03      2.71e-02    4.2e-05
2220000      1.47e-01      2.98e-03      2.23e-02    4.2e-05
2222000      2.82e-02      3.29e-03      3.27e-03    4.2e-05
2224000      3.93e-02      4.94e-03      1.04e-03    4.2e-05
2226000      3.50e-02      3.99e-03      2.39e-03    4.2e-05
2228000      4.03e-02      2.02e-03      5.90e-03    4.2e-05
2230000      7.30e-02      5.84e-04      1.11e-02    4.2e-05
2232000      1.77e-01      3.74e-03      2.68e-02    4.2e-05
2234000      3.62e-02      2.13e-03      4.89e-03    4.2e-05
2236000      2.52e-02      2.93e-03      2.94e-03    4.2e-05
2238000      1.93e-01      6.28e-03      2.90e-02    4.2e-05
2240000      1.18e-02      4.88e-04      1.76e-03    4.0e-05
2242000      2.93e-02      1.59e-03      4.16e-03    4.0e-05
2244000      3.29e-02      8.37e-04      5.04e-03    4.0e-05
2246000      8.80e-02      2.00e-03      1.37e-02    4.0e-05
2248000      2.79e-02      1.67e-03      4.11e-03    4.0e-05
2250000      2.01e-02      1.46e-03      2.58e-03    4.0e-05
2252000      4.09e-02      3.81e-03      5.48e-03    4.0e-05
2254000      1.56e-01      1.07e-03      2.44e-02    4.0e-05
2256000      1.14e-01      4.54e-03      1.74e-02    4.0e-05
2258000      2.05e-01      2.34e-03      3.20e-02    4.0e-05
2260000      5.40e-02      5.36e-03      5.32e-03    4.0e-05
2262000      2.80e-02      2.90e-03      3.59e-03    4.0e-05
2264000      1.53e-02      4.31e-04      2.33e-03    4.0e-05
2266000      6.53e-02      8.77e-04      1.02e-02    4.0e-05
2268000      1.07e-01      1.62e-03      1.67e-02    4.0e-05
2270000      2.41e-02      1.73e-03      3.46e-03    4.0e-05
2272000      3.08e-02      4.04e-04      4.80e-03    4.0e-05
2274000      3.33e-02      1.99e-03      4.93e-03    4.0e-05
2276000      1.47e-02      1.27e-03      1.70e-03    4.0e-05
2278000      1.38e-02      8.87e-04      1.86e-03    4.0e-05
2280000      2.77e-03      2.18e-04      3.51e-04    3.8e-05
2282000      1.72e-01      1.25e-03      2.77e-02    3.8e-05
2284000      1.25e-01      1.92e-03      2.00e-02    3.8e-05
2286000      4.70e-02      6.69e-03      4.64e-03    3.8e-05
2288000      3.78e-02      1.69e-03      5.89e-03    3.8e-05
2290000      2.17e-01      5.82e-03      3.46e-02    3.8e-05
2292000      3.96e-02      2.69e-03      5.40e-03    3.8e-05
2294000      3.09e-02      1.90e-03      4.67e-03    3.8e-05
2296000      4.94e-02      7.03e-03      4.88e-03    3.8e-05
2298000      3.18e-02      2.97e-03      3.48e-03    3.8e-05
2300000      1.03e-02      1.77e-05      1.65e-03    3.8e-05
2302000      2.99e-02      1.16e-03      4.58e-03    3.8e-05
2304000      3.11e-02      1.75e-03      4.49e-03    3.8e-05
2306000      2.37e-02      4.45e-04      3.80e-03    3.8e-05
2308000      2.49e-02      1.00e-03      3.81e-03    3.8e-05
2310000      6.94e-02      8.22e-03      4.14e-03    3.8e-05
2312000      4.04e-02      3.27e-03      5.02e-03    3.8e-05
2314000      3.54e-02      2.72e-03      5.15e-03    3.8e-05
2316000      4.38e-02      6.32e-03      4.22e-03    3.8e-05
2318000      2.23e-02      9.65e-04      3.49e-03    3.8e-05
2320000      6.97e-03      5.14e-04      9.40e-04    3.5e-05
2322000      3.74e-02      3.57e-03      5.26e-03    3.5e-05
2324000      2.36e-02      1.77e-03      3.56e-03    3.5e-05
2326000      8.05e-02      6.00e-03      1.21e-02    3.5e-05
2328000      2.75e-02      4.57e-03      1.74e-03    3.5e-05
2330000      1.78e-02      2.22e-03      6.04e-04    3.5e-05
2332000      5.22e-02      1.54e-03      8.41e-03    3.5e-05
2334000      3.92e-02      3.66e-03      5.55e-03    3.5e-05
2336000      4.42e-02      4.20e-03      6.22e-03    3.5e-05
2338000      1.86e-02      5.25e-04      3.00e-03    3.5e-05
2340000      3.93e-02      4.09e-03      5.32e-03    3.5e-05
2342000      1.27e-02      1.20e-03      1.42e-03    3.5e-05
2344000      2.00e-01      2.77e-03      3.31e-02    3.5e-05
2346000      2.12e-02      1.90e-04      3.50e-03    3.5e-05
2348000      6.18e-02      3.55e-03      9.85e-03    3.5e-05
2350000      8.72e-02      4.35e-03      1.39e-02    3.5e-05
2352000      3.76e-02      3.87e-03      3.66e-03    3.5e-05
2354000      1.93e-01      8.96e-03      3.11e-02    3.5e-05
2356000      2.65e-02      2.04e-03      3.97e-03    3.5e-05
2358000      2.39e-02      3.80e-03      1.83e-03    3.5e-05
2360000      2.39e-02      1.40e-04      4.07e-03    3.3e-05
2362000      2.63e-02      3.27e-03      3.23e-03    3.3e-05
2364000      5.11e-02      5.66e-03      6.86e-03    3.3e-05
2366000      1.41e-01      2.80e-03      2.37e-02    3.3e-05
2368000      6.77e-02      2.86e-03      1.13e-02    3.3e-05
2370000      1.85e-02      1.63e-03      2.74e-03    3.3e-05
2372000      6.95e-02      3.67e-03      1.08e-02    3.3e-05
2374000      3.07e-02      2.31e-04      5.22e-03    3.3e-05
2376000      1.83e-02      1.62e-03      2.72e-03    3.3e-05
2378000      1.08e-02      1.12e-03      1.06e-03    3.3e-05
2380000      1.95e-02      1.56e-03      2.59e-03    3.3e-05
2382000      3.68e-02      3.84e-03      5.11e-03    3.3e-05
2384000      1.41e-01      2.54e-03      2.38e-02    3.3e-05
2386000      7.18e-02      1.12e-03      1.22e-02    3.3e-05
2388000      7.50e-02      6.33e-03      1.13e-02    3.3e-05
2390000      1.62e-01      3.49e-03      2.72e-02    3.3e-05
2392000      1.34e-01      2.20e-03      2.28e-02    3.3e-05
2394000      2.26e-02      2.48e-03      1.94e-03    3.3e-05
2396000      2.31e-01      7.28e-03      3.87e-02    3.3e-05
2398000      1.92e-01      1.47e-03      3.26e-02    3.3e-05
2400000      8.74e-02      1.76e-03      1.52e-02    3.2e-05
2402000      2.81e-02      4.29e-03      2.61e-03    3.2e-05
2404000      6.83e-02      6.31e-04      1.20e-02    3.2e-05
2406000      1.95e-02      3.07e-03      1.66e-03    3.2e-05
2408000      1.33e-02      1.36e-03      1.37e-03    3.2e-05
2410000      1.32e-01      2.32e-03      2.28e-02    3.2e-05
2412000      2.58e-02      4.75e-04      4.49e-03    3.2e-05
2414000      2.29e-02      2.59e-03      1.82e-03    3.2e-05
2416000      1.76e-01      2.21e-03      3.08e-02    3.2e-05
2418000      1.28e-01      6.86e-03      2.14e-02    3.2e-05
2420000      9.75e-02      2.48e-03      1.69e-02    3.2e-05
2422000      1.60e-02      1.21e-03      2.25e-03    3.2e-05
2424000      8.20e-02      3.37e-04      1.44e-02    3.2e-05
2426000      7.71e-02      4.13e-04      1.35e-02    3.2e-05
2428000      3.16e-02      3.98e-03      7.09e-04    3.2e-05
2430000      1.96e-01      2.13e-03      3.42e-02    3.2e-05
2432000      1.43e-01      1.05e-03      2.51e-02    3.2e-05
2434000      2.37e-02      2.08e-03      3.00e-03    3.2e-05
2436000      1.26e-02      1.67e-03      1.49e-03    3.2e-05
2438000      2.73e-02      1.30e-04      4.78e-03    3.2e-05
2440000      1.65e-01      2.55e-03      2.96e-02    3.0e-05
2442000      2.29e-02      1.74e-03      3.31e-03    3.0e-05
2444000      6.22e-02      3.63e-03      1.07e-02    3.0e-05
2446000      1.55e-02      1.00e-03      2.40e-03    3.0e-05
2448000      1.42e-02      6.23e-04      2.41e-03    3.0e-05
2450000      3.59e-02      4.95e-03      4.14e-03    3.0e-05
2452000      2.80e-02      2.75e-03      4.23e-03    3.0e-05
2454000      1.65e-02      1.35e-03      2.65e-03    3.0e-05
2456000      3.26e-02      4.11e-03      6.23e-04    3.0e-05
2458000      1.55e-02      1.02e-03      2.38e-03    3.0e-05
2460000      2.20e-02      2.78e-03      3.20e-04    3.0e-05
2462000      1.63e-02      2.19e-04      2.93e-03    3.0e-05
2464000      2.04e-02      2.05e-04      3.66e-03    3.0e-05
2466000      1.43e-01      2.43e-03      2.57e-02    3.0e-05
2468000      1.92e-01      5.16e-03      3.41e-02    3.0e-05
2470000      1.59e-01      2.31e-04      2.86e-02    3.0e-05
2472000      1.25e-01      9.33e-04      2.25e-02    3.0e-05
2474000      1.05e-01      1.84e-03      1.88e-02    3.0e-05
2476000      8.06e-03      3.05e-04      1.42e-03    3.0e-05
2478000      1.48e-01      1.97e-03      2.66e-02    3.0e-05
2480000      2.94e-02      1.51e-03      5.22e-03    2.8e-05
2482000      2.92e-02      7.26e-04      5.35e-03    2.8e-05
2484000      6.20e-02      2.00e-03      1.11e-02    2.8e-05
2486000      1.64e-01      5.80e-04      3.04e-02    2.8e-05
2488000      3.25e-02      4.34e-03      4.02e-03    2.8e-05
2490000      1.00e-01      4.25e-03      1.80e-02    2.8e-05
2492000      1.56e-01      2.32e-03      2.86e-02    2.8e-05
2494000      2.57e-02      6.61e-04      4.72e-03    2.8e-05
2496000      1.82e-01      3.66e-03      3.34e-02    2.8e-05
2498000      5.05e-03      2.96e-04      8.30e-04    2.8e-05
2500000      5.85e-02      5.22e-03      7.68e-03    2.8e-05
2502000      8.93e-02      2.10e-03      1.64e-02    2.8e-05
2504000      1.91e-02      1.88e-04      3.52e-03    2.8e-05
2506000      1.64e-01      3.07e-04      3.04e-02    2.8e-05
2508000      1.35e-01      1.17e-03      2.50e-02    2.8e-05
2510000      6.00e-02      2.80e-03      1.07e-02    2.8e-05
2512000      1.47e-02      9.86e-04      2.31e-03    2.8e-05
2514000      3.15e-02      2.42e-03      4.64e-03    2.8e-05
2516000      1.41e-01      2.71e-03      2.59e-02    2.8e-05
2518000      4.55e-02      7.01e-03      4.30e-03    2.8e-05
2520000      2.18e-02      5.24e-04      4.08e-03    2.7e-05
2522000      3.19e-02      3.87e-03      1.77e-03    2.7e-05
2524000      1.50e-02      1.13e-03      2.29e-03    2.7e-05
2526000      1.29e-01      2.67e-03      2.45e-02    2.7e-05
2528000      2.11e-01      1.31e-03      4.02e-02    2.7e-05
2530000      4.01e-02      4.31e-03      6.11e-03    2.7e-05
2532000      9.96e-02      2.17e-03      1.87e-02    2.7e-05
2534000      8.82e-02      1.92e-03      1.65e-02    2.7e-05
2536000      2.74e-02      2.90e-03      4.20e-03    2.7e-05
2538000      8.99e-02      8.45e-04      1.71e-02    2.7e-05
2540000      7.17e-02      8.01e-04      1.36e-02    2.7e-05
2542000      2.64e-02      1.13e-03      4.73e-03    2.7e-05
2544000      4.44e-02      4.24e-03      7.16e-03    2.7e-05
2546000      2.23e-02      1.96e-03      3.71e-03    2.7e-05
2548000      1.10e-02      1.53e-03      1.33e-03    2.7e-05
2550000      1.54e-01      2.57e-03      2.92e-02    2.7e-05
2552000      5.82e-02      1.80e-04      1.11e-02    2.7e-05
2554000      7.86e-02      3.55e-04      1.50e-02    2.7e-05
2556000      1.44e-01      3.89e-04      2.74e-02    2.7e-05
2558000      1.07e-02      7.44e-04      1.70e-03    2.7e-05
2560000      8.90e-02      5.30e-04      1.74e-02    2.5e-05
2562000      1.24e-02      3.88e-04      2.36e-03    2.5e-05
2564000      1.03e-02      4.48e-05      2.01e-03    2.5e-05
2566000      1.34e-01      4.11e-03      2.58e-02    2.5e-05
2568000      6.34e-03      5.21e-04      9.44e-04    2.5e-05
2570000      6.99e-02      2.76e-04      1.37e-02    2.5e-05
2572000      1.96e-02      1.39e-03      3.17e-03    2.5e-05
2574000      2.80e-02      2.00e-03      4.52e-03    2.5e-05
2576000      3.28e-02      4.27e-03      4.42e-03    2.5e-05
2578000      5.30e-02      4.48e-04      1.03e-02    2.5e-05
2580000      2.87e-02      2.20e-03      5.08e-03    2.5e-05
2582000      1.88e-02      1.69e-03      3.18e-03    2.5e-05
2584000      1.34e-01      2.51e-03      2.61e-02    2.5e-05
2586000      2.47e-02      3.78e-03      2.51e-03    2.5e-05
2588000      2.05e-02      3.63e-04      3.98e-03    2.5e-05
2590000      1.42e-02      1.19e-03      2.45e-03    2.5e-05
2592000      1.64e-01      1.48e-03      3.21e-02    2.5e-05
2594000      3.51e-02      4.88e-03      4.32e-03    2.5e-05
2596000      1.51e-02      3.74e-04      2.93e-03    2.5e-05
2598000      1.22e-02      7.81e-04      2.06e-03    2.5e-05
2600000      3.73e-02      5.93e-03      3.45e-03    2.4e-05
2602000      1.85e-01      2.98e-03      3.71e-02    2.4e-05
2604000      6.85e-02      2.06e-05      1.38e-02    2.4e-05
2606000      1.32e-01      4.82e-03      2.61e-02    2.4e-05
2608000      1.64e-01      4.40e-03      3.23e-02    2.4e-05
2610000      1.02e-02      1.19e-03      8.02e-04    2.4e-05
2612000      1.71e-01      1.68e-03      3.44e-02    2.4e-05
2614000      1.25e-01      8.17e-04      2.52e-02    2.4e-05
2616000      4.18e-02      2.92e-03      7.75e-03    2.4e-05
2618000      1.16e-02      1.43e-03      5.33e-04    2.4e-05
2620000      8.56e-02      7.10e-03      1.58e-02    2.4e-05
2622000      7.03e-02      2.58e-03      1.38e-02    2.4e-05
2624000      1.44e-02      9.22e-04      2.51e-03    2.4e-05
2626000      2.88e-02      9.80e-04      5.69e-03    2.4e-05
2628000      1.08e-02      1.13e-03      1.22e-03    2.4e-05
2630000      3.34e-02      5.10e-03      3.52e-03    2.4e-05
2632000      4.28e-02      4.97e-03      6.56e-03    2.4e-05
2634000      1.41e-02      2.69e-05      2.83e-03    2.4e-05
2636000      1.40e-01      2.83e-03      2.79e-02    2.4e-05
2638000      2.59e-02      2.35e-03      4.49e-03    2.4e-05
2640000      1.15e-02      1.51e-03      1.60e-03    2.2e-05
2642000      1.69e-02      1.39e-03      2.65e-03    2.2e-05
2644000      7.15e-02      8.76e-04      1.47e-02    2.2e-05
2646000      1.30e-01      8.60e-04      2.68e-02    2.2e-05
2648000      6.09e-02      9.43e-04      1.26e-02    2.2e-05
2650000      4.53e-02      5.37e-03      3.23e-03    2.2e-05
2652000      7.05e-02      8.12e-04      1.46e-02    2.2e-05
2654000      1.33e-01      3.61e-03      2.69e-02    2.2e-05
2656000      9.82e-03      1.02e-03      1.16e-03    2.2e-05
2658000      1.96e-02      2.01e-03      2.36e-03    2.2e-05
2660000      2.42e-02      2.90e-03      1.55e-03    2.2e-05
2662000      2.30e-02      1.18e-03      4.34e-03    2.2e-05
2664000      1.99e-02      2.30e-03      3.14e-03    2.2e-05
2666000      1.94e-02      1.30e-03      3.42e-03    2.2e-05
2668000      3.73e-02      2.79e-03      7.02e-03    2.2e-05
2670000      1.85e-02      1.80e-03      3.21e-03    2.2e-05
2672000      1.68e-01      2.02e-03      3.47e-02    2.2e-05
