#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 194000      8.01e-01      3.02e-02      2.81e-02    7.9e-04
 196000      4.96e-01      3.16e-02      1.74e-02    7.9e-04
 198000      9.07e-01      3.77e-02      3.20e-02    7.9e-04
 200000      2.33e-01      2.89e-02      7.35e-03    7.5e-04
 202000      8.22e-02      2.42e-02      1.60e-03    7.5e-04
 204000      7.07e-02      1.62e-02      9.25e-04    7.5e-04
 206000      1.67e-01      1.42e-02      5.73e-03    7.5e-04
 208000      1.86e-01      1.14e-02      6.67e-03    7.5e-04
 210000      1.89e-02      1.27e-03      6.76e-04    7.5e-04
 212000      2.21e-01      3.23e-02      7.34e-03    7.5e-04
 214000      2.02e-01      4.21e-02      3.92e-03    7.5e-04
 216000      4.62e-01      1.16e-01      1.17e-02    7.5e-04
 218000      1.67e-01      2.63e-02      4.71e-03    7.5e-04
 220000      5.64e-01      2.55e-02      2.05e-02    7.5e-04
 222000      1.54e-01      2.97e-02      3.48e-03    7.5e-04
 224000      1.92e-01      5.36e-02      4.18e-03    7.5e-04
 226000      1.35e-01      1.49e-02      4.42e-03    7.5e-04
 228000      5.89e-01      4.72e-03      2.15e-02    7.5e-04
 230000      2.06e-01      1.95e-02      6.95e-03    7.5e-04
 232000      2.41e-01      2.65e-02      8.33e-03    7.5e-04
 234000      4.64e-01      1.24e-02      1.69e-02    7.5e-04
 236000      1.04e-01      1.23e-02      3.57e-03    7.5e-04
 238000      8.68e-01      1.59e-04      3.17e-02    7.5e-04
 240000      1.20e-01      1.57e-02      4.14e-03    7.1e-04
 242000      1.10e-01      1.39e-02      3.46e-03    7.1e-04
 244000      5.41e-01      1.52e-02      2.03e-02    7.1e-04
 246000      2.51e-01      4.07e-02      8.16e-03    7.1e-04
 248000      1.48e-01      6.48e-03      5.46e-03    7.1e-04
 250000      5.25e-01      1.10e-01      8.02e-03    7.1e-04
 252000      7.73e-01      2.44e-02      2.89e-02    7.1e-04
 254000      1.21e+00      2.00e-02      4.55e-02    7.1e-04
 256000      1.20e-01      7.42e-03      4.34e-03    7.1e-04
 258000      1.49e-01      1.02e-02      5.35e-03    7.1e-04
 260000      1.36e-01      4.14e-02      1.70e-03    7.1e-04
 262000      4.04e-01      8.98e-02      3.62e-03    7.1e-04
 264000      6.63e-02      1.39e-02      1.89e-03    7.1e-04
 266000      2.87e-01      3.43e-02      1.00e-02    7.1e-04
 268000      1.14e+00      2.12e-02      4.26e-02    7.1e-04
 270000      1.12e+00      6.92e-02      4.15e-02    7.1e-04
 272000      1.98e-01      1.29e-02      7.13e-03    7.1e-04
 274000      1.15e-01      7.28e-04      4.31e-03    7.1e-04
 276000      1.79e+00      8.54e-03      6.73e-02    7.1e-04
 278000      3.30e-01      8.17e-02      7.99e-03    7.1e-04
 280000      8.86e-01      1.15e-02      3.42e-02    6.7e-04
 282000      1.87e-01      3.70e-02      2.78e-03    6.7e-04
 284000      9.45e-02      1.55e-02      2.36e-03    6.7e-04
 286000      2.75e-01      1.91e-03      1.06e-02    6.7e-04
 288000      2.36e+00      6.65e-02      9.09e-02    6.7e-04
 290000      8.75e-01      8.66e-03      3.38e-02    6.7e-04
 292000      2.49e-01      1.07e-02      9.53e-03    6.7e-04
 294000      9.42e-02      1.22e-02      2.91e-03    6.7e-04
 296000      8.60e-01      2.36e-02      3.31e-02    6.7e-04
 298000      9.11e-01      2.06e-02      3.51e-02    6.7e-04
 300000      1.61e-01      3.67e-02      4.14e-03    6.7e-04
 302000      2.57e-01      1.01e-02      9.87e-03    6.7e-04
 304000      1.04e+00      2.91e-02      3.99e-02    6.7e-04
 306000      1.09e-01      1.39e-02      3.41e-03    6.7e-04
